 ****************** Start US v. 1.94 at 2015-05-07 12:21:22 ******************
 
 US run
 energy   6.040 GeV   current 200.0 mA   sige   0.0000000
 sigx    0.3950  mm   sigy   0.0099 mm   sigx1  0.0105 mr   sigy1  0.0039 mr
 period   1.800  cm   N         222      Kx      0.000      Ky      1.680
 emin    9972.1  eV   emax  55000.0 eV   ne        500
 d       30.000   m   xpc     0.000 mm   ypc     0.000 mm
 xps      3.000  mm   yps     3.000 mm   nxp        20      nyp        40
 mode         6       method      1      iharm       0   
 nphi        20       nalpha     40      calpha2   2.0
 nomega      64       comega    8.0      nsigma      4
 
 e1      7982.2  eV   l1      1.553  A
 ptot   18431.2   W   pd      693.7  W/mm^2
 
 
 Power density distribution @  30.000 m (W/mm^2):
 
 Integrated power     4955.5 W
 Contributing harmonics    1 to   26
 
    x(mm)      y(mm)     Power density       p1      p2      p3      p4
    0.3750     1.1250    4.801638E+02     0.817  -0.009   0.000   0.183
    0.3750     1.1625    4.693988E+02     0.808  -0.010   0.000   0.192
    0.3750     1.2000    4.586340E+02     0.799  -0.010   0.000   0.201
    0.3750     1.2375    4.477639E+02     0.790  -0.010   0.000   0.210
    0.3750     1.2750    4.369770E+02     0.782  -0.011   0.000   0.218
    0.3750     1.3125    4.261863E+02     0.773  -0.011   0.000   0.227
    0.3750     1.3500    4.153570E+02     0.764  -0.011   0.000   0.236
    0.3750     1.3875    4.045324E+02     0.756  -0.012   0.000   0.244
    0.3750     1.4250    3.934472E+02     0.748  -0.012   0.000   0.252
    0.3750     1.4625    3.817854E+02     0.740  -0.012   0.000   0.260
    0.3750     1.5000    3.689654E+02     0.732  -0.013   0.000   0.268
    0.4500     0.0000    6.802649E+02     0.997  -0.001   0.000   0.003
    0.4500     0.0375    6.800150E+02     0.997  -0.001   0.000   0.003
    0.4500     0.0750    6.791908E+02     0.996  -0.001   0.000   0.004
    0.4500     0.1125    6.777924E+02     0.995  -0.001   0.000   0.005
    0.4500     0.1500    6.759009E+02     0.993  -0.001   0.000   0.007
    0.4500     0.1875    6.734507E+02     0.991  -0.002   0.000   0.009
    0.4500     0.2250    6.704718E+02     0.988  -0.002   0.000   0.012
    0.4500     0.2625    6.669730E+02     0.984  -0.002   0.000   0.016
    0.4500     0.3000    6.629462E+02     0.981  -0.003   0.000   0.019
    0.4500     0.3375    6.584538E+02     0.976  -0.003   0.000   0.024
    0.4500     0.3750    6.534523E+02     0.971  -0.003   0.000   0.028
    0.4500     0.4125    6.479602E+02     0.966  -0.004   0.000   0.034
    0.4500     0.4500    6.420409E+02     0.961  -0.004   0.000   0.039
    0.4500     0.4875    6.356612E+02     0.955  -0.005   0.000   0.045
    0.4500     0.5250    6.288384E+02     0.948  -0.005   0.000   0.052
    0.4500     0.5625    6.216388E+02     0.942  -0.005   0.000   0.058
    0.4500     0.6000    6.140532E+02     0.935  -0.006   0.000   0.065
    0.4500     0.6375    6.060667E+02     0.927  -0.006   0.000   0.073
    0.4500     0.6750    5.977644E+02     0.920  -0.006   0.000   0.080
    0.4500     0.7125    5.891144E+02     0.912  -0.007   0.000   0.088
    0.4500     0.7500    5.802024E+02     0.904  -0.007   0.000   0.096
    0.4500     0.7875    5.709767E+02     0.896  -0.007   0.000   0.104
    0.4500     0.8250    5.614768E+02     0.887  -0.008   0.000   0.112
    0.4500     0.8625    5.517892E+02     0.879  -0.008   0.000   0.121
    0.4500     0.9000    5.418680E+02     0.870  -0.008   0.000   0.130
    0.4500     0.9375    5.317504E+02     0.862  -0.009   0.000   0.138
    0.4500     0.9750    5.214920E+02     0.853  -0.009   0.000   0.147
    0.4500     1.0125    5.110777E+02     0.844  -0.009   0.000   0.156
    0.4500     1.0500    5.005389E+02     0.835  -0.010   0.000   0.165
    0.4500     1.0875    4.899190E+02     0.826  -0.010   0.000   0.174
    0.4500     1.1250    4.792164E+02     0.817  -0.010   0.000   0.183
    0.4500     1.1625    4.684663E+02     0.808  -0.011   0.000   0.192
    0.4500     1.2000    4.576845E+02     0.799  -0.011   0.000   0.200
    0.4500     1.2375    4.468686E+02     0.791  -0.011   0.000   0.209
    0.4500     1.2750    4.361034E+02     0.782  -0.012   0.000   0.218
    0.4500     1.3125    4.253214E+02     0.773  -0.012   0.000   0.227
    0.4500     1.3500    4.145444E+02     0.765  -0.012   0.000   0.235
    0.4500     1.3875    4.037086E+02     0.756  -0.013   0.000   0.244
    0.4500     1.4250    3.926472E+02     0.748  -0.013   0.000   0.252
    0.4500     1.4625    3.810184E+02     0.740  -0.013   0.000   0.260
    0.4500     1.5000    3.681778E+02     0.732  -0.014   0.000   0.268
    0.5250     0.0000    6.787100E+02     0.997  -0.001   0.000   0.003
    0.5250     0.0375    6.784758E+02     0.997  -0.001   0.000   0.003
    0.5250     0.0750    6.776594E+02     0.996  -0.001   0.000   0.004
    0.5250     0.1125    6.762759E+02     0.995  -0.001   0.000   0.005
    0.5250     0.1500    6.743641E+02     0.993  -0.002   0.000   0.007
